userid,username,item,item_type,ctime,comment,rating,product_quality,seller_service,delivery_service,has_template_tag,template_tags,tags,is_oversea,origin_region,like_count,is_repeated_purchase,exclude_scoring_due_low_logistic
593808820,vj9frpkb9j,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664853748,"Thank you,nagustuhan ni pare HAHAHHA Edi wow Syempre naman tWo jOintsHAHHAHA",5,5,5,5,False,[],,False,ph,,False,False
591868390,c2r5juspk6,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1663554283,⭐⭐⭐⭐⭐ I will order again because it is beautiful ✨The fabric is beautiful! The fabric is thick ❤❤❤ It's right for me! It was worth my order. I will order again for my mom and my brother and my partner.. salute the Seller of this shop✋👍👍👍👍 I recommend this shop let's order now☺️😊😊😊😊😊 thank y,5,5,5,5,False,[],,False,ph,,False,False
593077705,je_c4w826o,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664247732,The product arrived in a good condition and well packed… ❤️ thank you for selling out such this awesome item. Will order again soon! Godbless.,5,5,5,5,False,[],,False,ph,,False,False
593089297,88_m8x8h_d,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664247993,ganda po ng quality po ng mga items niyo po. dami pong umorder sakin. malaki ma iipon ko kase mura lang daming bumili sakin at maganda na po. kompleto po items. oorder po ako ulit ng madami. salamat seller 😊,5,5,5,5,False,[],,False,ph,,False,False
593084169,atv3nne37k,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664247877,Ganda ng design. Sana magustuhan ng kapatid ko. bilis din nia dumating. mura pa. Will order again. :) :) Thank you seller.,5,5,5,5,False,[],,False,ph,,False,False
593073370,kgeh0n8qsr,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664247597,"I received the product, I like it very much. I can't wait to open it as soon as I receive it. The short-sleeved cotton feels so comfortable. I plan to buy another one for my boyfriend.",5,5,5,5,False,[],,False,ph,,False,False
592975933,uqliojfu39,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664247433,"Ang damit ay maganda, at ang kwalidad ay maganda. Gusto ko ang tela. Hindi ko gusto ang makinis na tela, ngunit ang tela na ito ay maganda, kaya ipagpalagay kong bumili ito",5,5,5,5,False,[],,False,ph,,False,False
593814853,ltxcdyynul,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664853875,ang ganda ng Tshirt sobrang nagustuhan ko,5,5,5,5,False,[],,False,ph,,False,False
592581568,m*****n,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1663495784,,5,5,5,5,False,[],,False,ph,,False,False
446779036,72j25fyy8b,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1666260083,,1,1,3,5,False,[],,False,ph,,False,False
